"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0164","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Total Expenditure","001","State and Local","432,478","2.90"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0165","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Current Operations","001","State and Local","343,588","3.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0166","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Capital Outlay","001","State and Local","88,889","1.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0167","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Total Expenditure","001","State and Local","454,823","0.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0168","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Current Operations","001","State and Local","352,677","0.80"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0169","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Capital Outlay","001","State and Local","102,146","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0170","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Total Expenditure","001","State and Local","240,111","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0171","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Current Operations","001","State and Local","230,988","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0172","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Capital Outlay","001","State and Local","9,123","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0173","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Total Expenditure","001","State and Local","304,185","3.90"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0174","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Current Operations","001","State and Local","154,948","7.70"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0175","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Capital Outlay","001","State and Local","149,237","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0176","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Total Expenditure","001","State and Local","251,072","0.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0177","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Current Operations","001","State and Local","232,022","0.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0178","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Capital Outlay","001","State and Local","19,050","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0179","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Total Expenditure","001","State and Local","841,584","0.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0180","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Current Operations","001","State and Local","831,257","0.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0181","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Capital Outlay","001","State and Local","10,327","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0182","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Total Expenditure","001","State and Local","534,947","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0183","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Current Operations","001","State and Local","524,656","0.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0184","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Capital Outlay","001","State and Local","10,291","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0185","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Total Expenditure","001","State and Local","158,265","1.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0186","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Current Operations","001","State and Local","77,612","2.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0187","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Capital Outlay","001","State and Local","80,654","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0188","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Total Expenditure","001","State and Local","386,196","1.50"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0189","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Current Operations","001","State and Local","358,582","1.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0190","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Capital Outlay","001","State and Local","27,613","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0191","Expenditure - Direct Expenditure - General Expenditure - Interest on General Debt","001","State and Local","409,356","0.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0192","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Total Expenditures","001","State and Local","11,473","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0193","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Current Operations","001","State and Local","8,220","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0194","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Capital Outlay","001","State and Local","3,253","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0195","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Total Expenditures","001","State and Local","1,705,076","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0196","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Current Operations","001","State and Local","1,520,147","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0197","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Capital Outlay","001","State and Local","184,929","0.10"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0198","Expenditure - Direct Expenditure - Utility Expenditure - Total Expenditure","001","State and Local","1,040,963","4.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0199","Expenditure - Direct Expenditure - Utility Expenditure - Current Operations","001","State and Local","853,458","4.80"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0200","Expenditure - Direct Expenditure - Utility Expenditure - Capital Outlay","001","State and Local","158,178","4.40"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0201","Expenditure - Direct Expenditure - Utility Expenditure - Interest on Debt","001","State and Local","29,327","5.30"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0202","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Total Expenditure","001","State and Local","543,889","7.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0203","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Current Operations","001","State and Local","382,200","10.70"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0204","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Capital Outlay","001","State and Local","133,937","5.20"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0205","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Interest on Debt","001","State and Local","27,752","5.60"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0206","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Total Expenditure","001","State and Local","238,795","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0207","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Current Operations","001","State and Local","225,906","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0208","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Capital Outlay","001","State and Local","11,378","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0209","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Interest on Debt","001","State and Local","1,511","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0210","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Total Expenditure","001","State and Local","80,006","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0211","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Current Operations","001","State and Local","77,947","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0212","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Capital Outlay","001","State and Local","2,059","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0214","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Total Expenditure","001","State and Local","178,273","0.00"
"2023","New Mexico","Annual Survey of State and Local Finance","LF0215","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Current Operations","001","State and Local","167,405","0.00"
